label,clean_bibtex,type,title,author,year,journal_type,,conferences type,location,page,url,filename
tokenskip_controllable_chain_of_thought_compression_in_llms,xia-etal-2025-tokenskip,inproceedings,{T}oken{S}kip: Controllable Chain-of-Thought Compression in {LLM}s,"Xia, Heming and Leong, Chak Touand Wang, Wenjie and Li, Yongqi and Li, Wenjie",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",3351--3363,https://aclanthology.org/2025.emnlp-main.165/,2025.emnlp-main.bib
ssa_semantic_contamination_of_llm_driven_fake_news_detection,xu-etal-2025-ssa,inproceedings,{SSA}: Semantic Contamination of {LLM}-Driven Fake News Detection,"Xu, Cheng and Yan, Nan and Guan, Shuhaoand Mei, Yukeand Kechadi, Tahar",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",14737--14751,https://aclanthology.org/2025.emnlp-main.744/,2025.emnlp-main.bib
seq2path_generating_sentiment_tuples_as_paths_of_a_tree,mao-etal-2022-seq2path,inproceedings,{S}eq2{P}ath: Generating Sentiment Tuples as Paths of a Tree,"Mao, Yue and Shen, Yi and Yang, Jingchaoand Zhu, Xiaoying and Cai, Longjun",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",2215--2225,https://aclanthology.org/2022.findings-acl.174/,2022.findings-acl.bib
,wulamu-etal-2025-rte,inproceedings,{RTE}-{GM}o{E}: A Model-agnostic Approach for Relation Triplet Extraction via Graph-based Mixture-of-Expert Mutual Learning,"Wulamu, Aziguliand Gong, Kaiyuan and Zhengyu, Lyuand Han, Yu and Zhu, Zhihong and Xing, Bowen",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",7477--7488,https://aclanthology.org/2025.emnlp-main.380/,2025.emnlp-main.bib
rd_mcsa_a_multi_class_sentiment_analysis_approach_integrating,xie-etal-2025-rd,inproceedings,{RD}-{MCSA}: A Multi-Class Sentiment Analysis Approach Integrating In-Context Classification Rationales and Demonstrations,"Xie, Haihua and Cheng, Yinzhuand Wang, Yaqing and He, Miao and Sun, Mingming",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",21700--21723,https://aclanthology.org/2025.emnlp-main.1100/,2025.emnlp-main.bib
nova_63_native_omni_lingual_versatile_assessments_of_63_disciplines,zhang-etal-2025-nova,inproceedings,{NOVA}-63: Native Omni-lingual Versatile Assessments of 63 Disciplines,"Zhang, Jinyangand Yang, Kexinand Wan, Yu and Ye, Muyang and Yang, Baosongand Huang, Feiand Lin, Junyangand Liu, Dayiheng",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",7147--7189,https://aclanthology.org/2025.emnlp-main.364/,2025.emnlp-main.bib
multilingual_dataset_aspect_based_sentiment,wu-etal-2025-absa,inproceedings,{M}-{ABSA}: A Multilingual Dataset for Aspect-Based Sentiment Analysis,"Wu, ChengYanand Ma, Boleiand Liu, Yihongand Zhang, Zheyu and Deng, Ningyuan and Li, Yanshu and Chen, Baolan and Zhang, Yi and Xue, Yun and Plank, Barbara",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",2530--2557,https://aclanthology.org/2025.emnlp-main.128/,2025.emnlp-main.bib
,yuan-etal-2025-llmsr,inproceedings,{LLMSR}@{XLLM}25: Less is More: Enhancing Structured Multi-Agent Reasoning via Quality-Guided Distillation,"Yuan, Jiahao and Sun, Xingzhe and Yu, Xing and Wang, Jingwenand Du, Dehuiand Cui, Zhiqingand Di, Zixiang",2025,Proceedings of the 1st Joint Workshop on Large Language Models and Structure Modeling (XLLM 2025),,Association for Computational Linguistics,"Vienna, Austria",274--282,https://aclanthology.org/2025.xllm-1.23/,2025.xllm-1.bib
,wang-etal-2025-llms-perform,inproceedings,{LLM}s can Perform Multi-Dimensional Analytic Writing Assessments: A Case Study of {L}2 Graduate-Level Academic {E}nglish Writing,"Wang, Zhengxiang and Makarova, Veronika and Li, Zhi and Kodner, Jordan and Rambow, Owen",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",8637--8663,https://aclanthology.org/2025.acl-long.423/,2025.acl-long.bib
fin_mteb_finance_massive_text_embedding_benchmark,tang-yang-2025-finmteb,inproceedings,{F}in{MTEB}: Finance Massive Text Embedding Benchmark,"Tang, Yixuan and Yang, Yi",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",3620--3638,https://aclanthology.org/2025.emnlp-main.179/,2025.emnlp-main.bib
esgenius_benchmarking_llms_on_environmental_social_and_governance_and_sustainability_knowledge,he-etal-2025-esgenius,inproceedings,"{ESG}enius: Benchmarking {LLM}s on Environmental, Social, and Governance ({ESG}) and Sustainability Knowledge","He, Chaoyue and Zhou, Xin and Wu, Yi and Yu, Xinjia and Zhang, Yan and Zhang, Lei and Wang, Di and Lyu, Shengfeiand Xu, Hongand Xiaoqiao, Wang and Liu, Wei and Miao, Chunyan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",14612--14653,https://aclanthology.org/2025.emnlp-main.739/,2025.emnlp-main.bib
event_centric_opinion_mining,xu-etal-2022-eco,inproceedings,{ECO} v1: Towards Event-Centric Opinion Mining,"Xu, Ruoxi and Lin, Hongyu and Liao, Meng and Han, Xianpei and Xu, Jin and Tan, Wei and Sun, Yingfei and Sun, Le",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",2743--2753,https://aclanthology.org/2022.findings-acl.216/,2022.findings-acl.bib
ds2_absa_dual_stream_data_synthesis,xu-etal-2025-ds2,inproceedings,{DS}$^2$-{ABSA}: Dual-Stream Data Synthesis with Label Refinement for Few-Shot Aspect-Based Sentiment Analysis,"Xu, Hongling and Zhang, Yice and Wang, Qianlongand Xu, Ruifeng",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",15460--15478,https://aclanthology.org/2025.acl-long.752/,2025.acl-long.bib
dice_structured_reasoning_in_llms_through_slm_guided_chain_of_thought_correction,li-etal-2025-dice,inproceedings,{DICE}: Structured Reasoning in {LLM}s through {SLM}-Guided Chain-of-Thought Correction,"Li, Yiqi and Liao, Yusheng and Chen, Zhe and Wang, Yanfengand Wang, Yu",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",6951--6966,https://aclanthology.org/2025.emnlp-main.355/,2025.emnlp-main.bib
codi_compressing_chain_of_thought_into_continuous_space_via_self_distillation,shen-etal-2025-codi,inproceedings,{CODI}: Compressing Chain-of-Thought into Continuous Space via Self-Distillation,"Shen, Zhenyi and Yan, Hanqi and Zhang, Linhaiand Hu, Zhanghao and Du, Yali and He, Yulan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",677--693,https://aclanthology.org/2025.emnlp-main.36/,2025.emnlp-main.bib
cot_icl_lab_a_synthetic_framework,kothapalli-etal-2025-cot,inproceedings,{C}o{T}-{ICL} Lab: A Synthetic Framework for Studying Chain-of-Thought Learning from In-Context Demonstrations,"Kothapalli, Vignesh and Firooz, Hamedand Sanjabi, Maziar",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",14620--14642,https://aclanthology.org/2025.acl-long.712/,2025.acl-long.bib
bi_syn_gat_bi_syntax_aware_graph_attention_network_for_aspect_based_sentiment_analysis,liang-etal-2022-bisyn,inproceedings,{B}i{S}yn-{GAT}+: Bi-Syntax Aware Graph Attention Network for Aspect-based Sentiment Analysis,"Liang, Shuo and Wei, Wei and Mao, Xian-Lingand Wang, Feiand He, Zhiyong",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",1835--1848,https://aclanthology.org/2022.findings-acl.144/,2022.findings-acl.bib
